Date,Total land+house Value,House Value,Land Value
2015-08-01,93.3,91.8,96.4
2015-09-01,93.4,92.0,96.4
2015-10-01,93.8,92.4,96.6
2015-11-01,93.9,92.6,96.7
2015-12-01,94.1,92.8,96.7
2016-01-01,94.2,93.0,96.7
2016-02-01,94.6,93.6,96.6
2016-03-01,94.8,93.9,96.6
2016-04-01,95.3,94.6,96.8
2016-05-01,96.6,96.4,97.1
2016-06-01,97.0,96.8,97.4
2016-07-01,97.8,97.8,97.6
2016-08-01,98.2,98.4,97.6
2016-09-01,98.5,98.5,98.1
2016-10-01,99.5,99.6,99.1
2016-11-01,99.9,99.8,100.0
2016-12-01,100.0,100.0,100.0
2017-01-01,100.3,99.9,100.9
2017-02-01,101.1,100.6,102.0
2017-03-01,101.4,100.8,102.5
2017-04-01,103.0,102.3,104.5
2017-05-01,103.8,103.0,106.2
2017-06-01,103.9,103.1,106.3
2017-07-01,104.1,103.4,106.3
2017-08-01,104.2,103.5,106.4
2017-09-01,104.3,103.6,106.5
2017-10-01,104.4,103.8,106.5
2017-11-01,104.5,103.9,106.5
2017-12-01,104.5,103.9,106.5
2018-01-01,104.6,104.0,106.6
2018-02-01,104.3,103.4,106.6
2018-03-01,104.3,103.4,106.5
2018-04-01,104.1,103.2,106.5
2018-05-01,104.1,103.2,106.5
2018-06-01,104.2,103.3,106.5
2018-07-01,104.3,103.5,106.5
2018-08-01,104.4,103.7,106.5
2018-09-01,104.4,103.5,106.7
2018-10-01,104.5,103.5,106.8
2018-11-01,104.6,103.6,106.9
2018-12-01,104.6,103.7,106.9
2019-01-01,104.5,103.5,106.9
2019-02-01,104.5,103.5,106.9
2019-03-01,104.6,103.6,106.9
2019-04-01,104.6,103.6,106.9
2019-05-01,104.6,103.6,106.9
2019-06-01,104.7,103.8,107.0
2019-07-01,104.5,103.3,106.9
2019-08-01,104.5,103.3,107.0
2019-09-01,105.0,104.0,107.1
2019-10-01,105.2,104.2,107.2
2019-11-01,105.3,104.4,107.2
2019-12-01,105.5,104.7,107.2
2020-01-01,105.4,104.6,107.3
2020-02-01,105.9,105.4,107.3
2020-03-01,106.3,105.9,107.5
2020-04-01,106.4,106.0,107.5
2020-05-01,106.5,106.3,107.5
2020-06-01,106.7,106.4,107.7
2020-07-01,107.2,106.7,108.6
2020-08-01,107.7,107.4,109.0
2020-09-01,108.8,108.6,109.6
2020-10-01,109.5,109.7,109.9
2020-11-01,110.2,110.4,110.5
2020-12-01,110.8,111.2,110.8
2021-01-01,112.2,113.0,111.4
2021-02-01,113.7,114.0,113.9
2021-03-01,115.2,115.7,114.9
2021-04-01,117.4,118.3,116.3
2021-05-01,118.6,119.9,116.8
2021-06-01,119.3,120.7,117.1
2021-07-01,119.8,121.4,117.1
2021-08-01,121.1,122.9,117.8
